,Tweets,len,ID,Date,Likes,RTs,sentiment
182,Mariah Carey to headline Livewire Festival in Blackpool https://t.co/Y1URWAtimy,79,995477903587540992,2018-05-13 01:36:41,81,26,
183,Deadpool: David Beckham gets apology from superhero who mocked his voice https://t.co/sD89mpxOtH,96,995477903562477568,2018-05-13 01:36:41,257,69,
184,Queen consents to Harry and Meghan's marriage https://t.co/FHzXsxHoDc,69,995475405674041344,2018-05-13 01:26:46,297,69,
185,Putting the fizz back into Catalonia's cava https://t.co/2HFxTq8kss,67,995470259791548418,2018-05-13 01:06:19,25,8,
186,The couple who care for stricken dogs in an Indian beach town https://t.co/Pz0MCeRXPd,85,995470259749564416,2018-05-13 01:06:19,88,30,
187,BDSM and consent: How to stop rough sex crossing the line into abuse https://t.co/PgK94QYD1P,92,995470251843350533,2018-05-13 01:06:17,59,23,
188,Men-only event at US mosque sparks backlash https://t.co/ciyzSIZjgF,67,995469607535304705,2018-05-13 01:03:44,23,10,
189,Should we sleep and wake early to boost our health? https://t.co/HQiDh0ash4,75,995467873689759745,2018-05-13 00:56:50,83,24,
190,"?OK, I?m fat - and this is how it feels? https://t.co/mPtrckXH6F",64,995467866395889665,2018-05-13 00:56:48,72,23,
191,"'Oldest' turtle, 80, returns to Blackpool after 15 years https://t.co/yIglsSgygO",80,995466750912356352,2018-05-13 00:52:22,202,56,
192,How to break your wet-wipe addiction https://t.co/8LhDjPzmnE,60,995466143426072577,2018-05-13 00:49:58,35,7,
193,The legendary director on his love of Polaroid https://t.co/2TZLn4i5Oo,70,995465531485491200,2018-05-13 00:47:32,29,6,
194,Royal wedding: Fans travel across the globe to join 'a real-life fairy tale' https://t.co/XR7yIWmWg5,100,995465525986721797,2018-05-13 00:47:30,117,30,
195,Your pictures: My camera https://t.co/Zo3bPO8wZL,48,995464882131742721,2018-05-13 00:44:57,13,13,
196,Kid's top tips for Meghan Markle https://t.co/cIuc6ok2KX,56,995464270635823104,2018-05-13 00:42:31,37,10,
197,EU rough sleepers win damages for illegal deportations https://t.co/c8c9Iyvjjl,78,995458415756500992,2018-05-13 00:19:15,35,13,
198,Rich List 2018: Jim Ratcliffe is UK's richest man https://t.co/39UwHCgy2I,73,995454185998028806,2018-05-13 00:02:27,70,31,
199,The Papers: 'A dozen ministers desert May on customs' https://t.co/iWT54nFHeP,77,995452408691085312,2018-05-12 23:55:23,31,20,
