,Tweets,len,ID,Date,Likes,RTs,sentiment
41,"RT @BBC_HaveYourSay: ""When you're inclusive but still hate the poor"": How a rainbow-coloured bench launched a debate about homelessness and?",140,995995782099734528,2018-05-14 11:54:33,0,33,
42,RT @BBCScienceNews: Funding doubled for Tessa Jowell research https://t.co/IXpE9dQVs9,85,995995707021590528,2018-05-14 11:54:15,0,2,
43,'Design crimes': How a bench launched a homelessness debate https://t.co/FoQBk3U4tT,83,995994728612102145,2018-05-14 11:50:22,40,8,
44,"RT @bbcstories: Mellisa isn't afraid of claiming the word 'fat' - but that doesn't mean she has to like it.
https://t.co/ZVRVNTvI3Q",131,995991482669649921,2018-05-14 11:37:28,0,38,
45,Cannes 2018: Festival awaits return of 'persona non grata' Lars von Trier https://t.co/fvRKqHdfPt,97,995991274158206987,2018-05-14 11:36:39,17,7,
46,Boarding school 'sorry' for 'blacked up' slave photo https://t.co/3Qtk62k8UL,76,995990017913839616,2018-05-14 11:31:39,25,18,
47,British rugby player from Durham team dies in Sri Lanka https://t.co/lrflMLU8SF,79,995989456858570752,2018-05-14 11:29:25,17,21,
48,Italian Open: Johanna Konta beats Magdalena Rybarikova in first round https://t.co/DjU5SvFhpe,93,995989456833441793,2018-05-14 11:29:25,24,4,
49,RT @BBCTech: John Lewis apologises after wedding gift list site disappears https://t.co/BG9mB5Pb2M,98,995988947359731712,2018-05-14 11:27:24,0,7,
50,RT @BBCNormanS: It?s understood no breakthrough on customs options expected at Brexit sub committee tomorrow,108,995980043410079744,2018-05-14 10:52:01,0,19,
51,RT @BBCNormanS: Tory MPs told at meeting with PM on customs options - ?both models won?t work in the current form.?,115,995980030676209664,2018-05-14 10:51:58,0,99,
52,"""The prospects that were dangled in front of people at the time of Brexit, I think, look very different today"" - ex? https://t.co/89XJkRO3FE",140,995979239445774337,2018-05-14 10:48:49,171,95,
53,Royal Wedding: Meet the US and UK wedding planners https://t.co/P96NcaC8JM,74,995978911489118208,2018-05-14 10:47:31,40,8,
54,India's Tharoor charged over wife's death https://t.co/Lz8cgJRilC,65,995975934934241280,2018-05-14 10:35:41,19,23,
55,James Haskell: Northampton Saints sign England forward from Wasps https://t.co/YcUYGq9aAF,89,995975934921596928,2018-05-14 10:35:41,20,9,
56,"Garth Crooks' Team of the Season: Salah, De Bruyne, Aguero and Kane - who else? https://t.co/jBsWs393zE",103,995973635667120128,2018-05-14 10:26:33,21,8,
57,Club 18-30 could be sold by Thomas Cook https://t.co/43JJXTV5AX,63,995970095733231617,2018-05-14 10:12:29,18,12,
58,"With 5 days to go to the #RoyalWedding, we asked black Britons what they think of the monarchy - and #MeghanMarkle? https://t.co/91G8xGHgAg",139,995969901381681152,2018-05-14 10:11:43,104,53,
59,"RT @VictoriaLIVE: Victims of serious crime are being handing over to the Home Office for immigration enforcement, our research has found.?",138,995965575141748736,2018-05-14 09:54:31,0,46,
60,Bafta: This Country stars on that Swindon Town dress and living at home https://t.co/qWQfq4ZZzH,95,995965393721266176,2018-05-14 09:53:48,75,12,
61,"""A further 12 Islamist terror plots"" have been thwarted since the Westminster attack in March 2017, MI5 director ge? https://t.co/sfAHziRg8c",140,995962017377759233,2018-05-14 09:40:23,93,65,
62,"Russian government risks becoming a ""more isolated pariah"" because of campaign aimed at undermining European democr? https://t.co/PtoWXl6YSJ",140,995959736884379648,2018-05-14 09:31:19,161,107,
63,"RT @BBCBreaking: Russian government is ""chief protagonist"" in campaign aimed at undermining European democracy - MI5 director general Andre?",140,995957892816785409,2018-05-14 09:24:00,0,377,
64,Racecourse security to be reviewed after Ascot and Goodwood brawls https://t.co/7WqSInpMb2,90,995956091136761856,2018-05-14 09:16:50,26,10,
65,Spanish Grand Prix: Mercedes' Lewis Hamilton 'rejuvenated' by victory https://t.co/WbwNuB6fHU,93,995956081984724992,2018-05-14 09:16:48,47,9,
66,UK needs Brexit 'safe harbour' - David Miliband https://t.co/2vzhuWGZwM,71,995954389041975296,2018-05-14 09:10:04,51,20,
